cssuk;cssut;cssue1;cssue3;RMSD_t1_cc;RMSD_t1_st;RMSD_t1_sw;RMSD_t2_cc;RMSD_t2_st;RMSD_t2_sw;RMSD_t3_cc;RMSD_t3_st;RMSD_t3_sw
5;1;3;5;1.508921349;1.032672876;2.205870333;0.009336727;0.202933772;0.319976481;2.54578926;3.983486652;0.441841858
5;5;3;3;1.638139219;1.993373155;1.118284679;0.011864954;0.223969013;0.298531231;1.818395633;2.699292146;0.529278786
5;0;3;5;1.85217059;1.350058965;2.586968091;0.014089108;0.198088572;0.32459303;2.607499467;4.077367128;0.456473621
5;3;3;5;0.034753143;0.39232982;0.659752601;0.028210208;0.241116253;0.283359614;2.179018839;3.435849453;0.339754525
3;5;5;5;1.648229525;1.986658646;1.152967396;0.033066781;0.234052501;0.261058662;1.711372206;2.730006196;0.220688318
5;5;3;1;1.620974152;1.97489349;1.103043414;0.034231223;0.176605992;0.342773487;1.902609577;2.709139417;0.722322007
5;5;3;0;1.618822499;1.972576539;1.10113366;0.040071471;0.170581179;0.348343642;1.913520501;2.710373327;0.747394414
3;3;5;5;0.073173655;0.323740689;0.654023913;0.042069791;0.157273086;0.333791075;2.236863223;3.500834404;0.387149299
3;5;5;3;1.613886935;1.949536368;1.122692642;0.059548222;0.138314481;0.349103397;1.868015392;2.749960306;0.577364298
5;3;3;3;0.088054157;0.334497683;0.706422703;0.06375847;0.146782983;0.371867914;2.33773075;3.460159358;0.695152298
3;1;5;5;1.59111669;1.173035029;2.20294351;0.080919431;0.117286743;0.370977246;2.617334519;4.070143764;0.491272209
3;0;5;5;1.966325308;1.537132639;2.59441214;0.085841969;0.112205446;0.375667454;2.683527697;4.171302481;0.506296305
5;5;3;5;1.672217881;2.030040818;1.148574558;0.101008696;0.3146757;0.211674723;1.663136503;2.679723239;0.175448596
5;1;3;3;1.613332131;1.149490146;2.29212528;0.102869728;0.106570898;0.409368207;2.708687507;4.014088179;0.798345059
3;5;5;1;1.59658587;1.930822628;1.107458908;0.107656014;0.087997405;0.393978091;1.953095336;2.760004323;0.772252917
5;0;3;3;1.988395746;1.503801504;2.697558052;0.107825927;0.101460175;0.414098271;2.771597029;4.109863291;0.813158596
5;3;3;1;0.115185039;0.305016;0.730113388;0.111437157;0.097356297;0.416988553;2.423733506;3.472422517;0.889066661
3;5;5;0;1.59441702;1.928476087;1.105550093;0.113763517;0.081578062;0.399629241;1.964126266;2.761263025;0.797584668
5;3;3;0;0.118599962;0.301302941;0.733092015;0.117484534;0.091059664;0.422671165;2.434871574;3.473960601;0.914253487
3;3;5;3;0.127539483;0.26412056;0.700700522;0.137923139;0.057274084;0.423577611;2.397197129;3.525884816;0.745459051
5;1;3;1;1.669235668;1.212463985;2.337682034;0.151432541;0.055977982;0.454960136;2.796858848;4.029591037;0.992860523
5;0;3;1;2.065209959;1.591456838;2.758507209;0.156504374;0.050714046;0.459750843;2.860397894;4.126359076;1.007771773
5;1;3;0;1.67642714;1.220589049;2.343507273;0.157596085;0.049527086;0.460703164;2.808271923;4.031538656;1.018125486
5;0;3;0;2.075350462;1.603086405;2.766468594;0.162683137;0.044242846;0.46550165;2.871891171;4.128433073;1.033049363
5;5;1;5;1.654519153;2.027374367;1.108877378;0.175576676;0.166106034;0.675600154;1.90902192;2.791191976;0.618041351
3;1;5;3;1.705484385;1.305535556;2.290775353;0.17858744;0.014872458;0.461699486;2.782405385;4.102366938;0.850754331
3;0;5;3;2.130172175;1.732118418;2.712689869;0.183747634;0.009473431;0.466510167;2.850109955;4.205935393;0.865975166
3;3;5;1;0.155243029;0.233679138;0.72439742;0.18787833;0.004481993;0.469381241;2.484190891;3.538529201;0.94125678
3;3;5;0;0.158731614;0.229842718;0.727376978;0.194229644;0.002266401;0.475151462;2.495464928;3.540115472;0.966708034
5;5;0;5;1.652290176;2.027040788;1.103874645;0.212297855;0.14662819;0.737555481;1.941305294;2.805616205;0.676460057
3;1;5;1;1.767968347;1.378819428;2.337454569;0.229590382;0.039341065;0.508004018;2.871859386;4.118716906;1.047189845
3;0;5;1;2.230787873;1.854973755;2.780759754;0.234888522;0.044928158;0.512879299;2.940364038;4.22355988;1.062516463
3;1;5;0;1.776088289;1.388396593;2.343441991;0.236080727;0.046279554;0.513838541;2.883445719;4.120772207;1.07272403
3;0;5;0;2.244819155;1.87233561;2.789917027;0.241397216;0.051891864;0.518722121;2.952052639;4.22577799;1.08806432
5;3;1;5;0.061717379;0.38815132;0.720061816;0.255385859;0.086369324;0.755515395;2.443433511;3.57131941;0.79286878
5;5;1;3;1.620302521;1.990678254;1.078289255;0.273241433;0.068068811;0.772719839;2.079441805;2.811823573;1.007663609
1;5;5;5;1.618485659;1.962055961;1.115699851;0.288048238;0.03350775;0.758617978;1.986316181;2.870390145;0.692549404
5;3;0;5;0.065145501;0.387627947;0.727740791;0.293141475;0.066000343;0.818714866;2.47827134;3.589019364;0.852786428
5;1;1;5;1.556083663;1.040883051;2.310035779;0.296790371;0.044699808;0.796532096;2.83076895;4.147277637;0.90417087
5;0;1;5;1.907776914;1.360648281;2.708452961;0.302044473;0.039396432;0.801714089;2.897641921;4.248678623;0.920515041
5;5;0;3;1.618055894;1.990341111;1.073248259;0.311220025;0.047539113;0.836233397;2.113965789;2.826398096;1.071381925
5;5;1;1;1.603067026;1.972183939;1.062895933;0.324042061;0.016515631;0.822419171;2.173603028;2.822215773;1.224413646
5;5;1;0;1.600906499;1.969865136;1.060967032;0.330494524;0.009937674;0.828687985;2.185921862;2.823518456;1.252853676
0;5;5;5;1.614748828;1.958968536;1.11101267;0.331094529;0.006716866;0.825452669;2.022562944;2.888663021;0.755099417
5;1;0;5;1.562270788;1.041918133;2.323762478;0.33512042;0.023821761;0.86040166;2.868511923;4.168945406;0.965438533
5;0;0;5;1.915192735;1.361992455;2.724754119;0.340449552;0.018451133;0.865670065;2.936132997;4.271428341;0.982042248
5;3;1;3;0.115506944;0.330210709;0.76777668;0.35672316;0.01628466;0.854925843;2.617903239;3.597371319;1.184535317
5;0;5;0;1.966215459;1.576587423;2.536402829;0.359489368;0.34620821;0.37892521;2.323566322;3.821015896;0.132176702
5;5;0;1;1.600811386;1.97184496;1.057835423;0.362720889;0.004622122;0.886767867;2.20964449;2.836867576;1.291757046
5;1;5;0;1.584762854;1.201862863;2.145104304;0.363776519;0.350696534;0.38291796;2.26797492;3.736019499;0.119617001
5;0;5;1;1.956702434;1.56531581;2.529463347;0.364715602;0.351738738;0.383706135;2.313998076;3.819249538;0.111191057
5;1;5;1;1.577892893;1.193872196;2.139874399;0.368993391;0.356214387;0.387694373;2.258460716;3.734339;0.098638836
5;5;0;0;1.598649724;1.969525925;1.055904064;0.369264816;0.011280745;0.893143945;2.222181849;2.838180023;1.320721107
1;3;5;5;0.119613233;0.284307023;0.710716047;0.372564847;0.052654389;0.840726491;2.537470358;3.675943997;0.871411374
1;5;5;3;1.583869438;1.924668189;1.085139559;0.392762639;0.074676734;0.858254207;2.159489134;2.891715739;1.087938005
5;3;0;3;0.11899931;0.329673698;0.775593955;0.395873446;0.037861938;0.919792728;2.655073437;3.615322327;1.249831159
5;3;5;0;0.065505714;0.3099583;0.614965248;0.397715844;0.386143574;0.414650872;1.927582359;3.224708699;0.029348692
5;1;1;3;1.66325555;1.15852559;2.401884759;0.400197941;0.06059013;0.897184983;3.010293891;4.180833053;1.297309751
5;3;5;1;0.062148302;0.313656667;0.612106793;0.402860384;0.391563816;0.419391948;1.918270121;3.223335005;0.008419072
5;0;1;3;2.048930759;1.516262835;2.828444794;0.405723942;0.066241423;0.902527629;3.078689953;4.284625602;1.313906077
5;0;5;3;1.884366829;1.480076641;2.476011008;0.406052777;0.395327343;0.421748532;2.239302239;3.805178921;0.052224612
5;3;1;1;0.1428941;0.300670893;0.792013602;0.409619522;0.070520882;0.905861434;2.714184643;3.610533636;1.402454409
5;1;5;3;1.524405867;1.131873108;2.09884405;0.410258534;0.399705958;0.425701326;2.184190957;3.720945658;0.064718362
5;3;1;0;0.146341657;0.296950368;0.795061692;0.4163485;0.077455503;0.91228947;2.726774258;3.612185487;1.431050507
1;1;5;5;1.683196551;1.259704874;2.302940469;0.416653823;0.098012682;0.882957932;2.950269981;4.291983634;0.986786586
0;3;5;5;0.125487246;0.279328779;0.717900941;0.417049668;0.08087809;0.909008076;2.577336746;3.699079512;0.935761966
